tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
3.039,false,qupa_C0,0.000000,0.500000,60.000,TYPE_B,3.039,0,0,0
72.239,false,qupa_C0,-1.000000,0.731059,59.651,TYPE_B,6.000,0,0,0
138.239,false,qupa_C0,-2.000000,0.880797,59.062,TYPE_B,3.000,0,0,0
203.439,false,qupa_C0,-3.000000,0.952574,57.526,TYPE_B,3.000,0,0,0
267.239,false,qupa_C0,-4.000000,0.982014,53.781,TYPE_B,3.000,0,0,0
327.239,false,qupa_C0,-5.000000,0.993307,45.968,TYPE_B,3.200,0,0,0
379.439,false,qupa_C0,-6.000000,0.997527,33.913,TYPE_B,3.200,0,0,0
419.639,false,qupa_C0,-7.000000,0.999089,21.858,TYPE_B,3.200,0,0,0
448.039,false,qupa_C0,-8.000000,0.999665,14.045,TYPE_B,3.200,0,0,0
468.239,false,qupa_C0,-9.000000,0.999877,10.300,TYPE_B,3.000,0,0,0
484.639,false,qupa_C0,-10.000000,0.999955,8.764,TYPE_B,3.000,0,0,0
499.639,false,qupa_C0,-11.000000,0.999983,8.175,TYPE_B,3.000,0,0,0
514.039,false,qupa_C0,-12.000000,0.999994,8.000,TYPE_B,3.200,0,0,0
528.439,false,qupa_C0,-12.000000,0.999994,8.000,TYPE_B,3.200,0,0,0
542.839,false,qupa_C0,-12.000000,0.999994,8.000,TYPE_B,3.000,0,0,0
557.039,false,qupa_C0,-12.000000,0.999994,8.000,TYPE_B,3.000,0,0,0
571.439,false,qupa_C0,-12.000000,0.999994,8.000,TYPE_B,3.200,0,0,0
585.639,false,qupa_C0,-12.000000,0.999994,8.000,TYPE_B,3.000,0,0,0
